調査年月日,現状判断,分野,地区,業種,理由
2020-01-01,やや悪くなっている,家計,東青,住宅建設販売,消費増税の効果がつづき、前年対比受注マイナスとなっているため。
2020-01-01,やや悪くなっている,家計,下北,スーパー,売上動向からみて。
2020-01-01,やや悪くなっている,家計,県南,住宅建設販売,消費税増税の為。
2020-01-01,やや悪くなっている,家計,県南,設計事務所,コストカットの要望が増えている。
2020-01-01,やや悪くなっている,家計,県南,ガソリンスタンド,消費税増税による需要の前倒しの影響、暖冬傾向により商品の動きが鈍いこと。
2020-01-01,やや悪くなっている,家計,県南,パチンコ,消費税が上がり、収入は変わらない。これでは、サイフのひもは固くなります。
2020-01-01,やや悪くなっている,家計,県南,スナック,12月週始めがとくに暇だった。
2020-01-01,やや悪くなっている,家計,県南,一般飲食店,消費税アップが徐々にきいて来ている様に感じられる。又、パート不足による売上の伸び悩み等。
2020-01-01,やや悪くなっている,家計,下北,都市型ホテル,冬期間は宿泊客が減ります。毎年の事ですが。
2020-01-01,やや悪くなっている,家計,県南,家電量販店,9月度の増税での反動有り。
2020-01-01,やや悪くなっている,家計,津軽,住宅建設販売,お客様の動きが一旦少なくなったと思うからです。(イベントへの参加人数がこれまでよりも少ない）
2020-01-01,やや悪くなっている,家計,津軽,旅行代理店,売り上げの減少。
2020-01-01,やや悪くなっている,家計,津軽,商店街,消費税増税による駆け込み消費の影響からか、街の賑わいが減ったように感じた。
2020-01-01,やや悪くなっている,家計,津軽,乗用車販売,10月の増税から販売不振が続いている。
2020-01-01,やや悪くなっている,家計,津軽,スーパー,消費税増税による買い控え。
2020-01-01,やや悪くなっている,家計,津軽,衣料専門店,近隣商店街で閉店する店が何か所かある。
2020-01-01,やや悪くなっている,家計,東青,パチンコ,10月消費税増税後11月は感じられなかったが12月に入り集客の落ち込みが目立ってきた。
2020-01-01,やや悪くなっている,家計,県南,コンビニ,買物は必要最小限にとどめている感があります。
2020-01-01,やや悪くなっている,家計,東青,タクシー,3ケ月前の「悪い」より、空から降るモノも降らずの暖冬で更にやや悪さを増しているという意味。
2020-01-01,やや悪くなっている,企業,東青,食料品製造,コストがあがり値上げをすると高ければ買わないと判断される。
2020-01-01,やや悪くなっている,企業,津軽,経営コンサルタント,大きな気候災害もなく、りんごや米等の農作物の収穫はまずまず良かったが、10月からの消費税増税は、消費者に響いてきているようだ。
2020-01-01,悪くなっている,企業,津軽,広告・デザイン,仕事量が少なく売上高も減少している。
2020-01-01,悪くなっている,企業,津軽,飲料品製造,どの企業に聞取りしても不景気の話をしていた。
2020-01-01,悪くなっている,家計,下北,一般小売店,増税の影響が出てきました。年金世代の来店が、目に見えて減りました。御歳暮の売上も大幅に減り、切り詰めるのは交際費という事です。
2020-01-01,悪くなっている,家計,下北,コンビニ,イベントがあっても全然だめだった。楽しむ余裕がないのかなと思う。
2020-01-01,悪くなっている,家計,県南,レストラン,市街を歩く人の数があきらかに少ない。平日の夜は全く人が歩いていない。
2020-01-01,悪くなっている,家計,県南,百貨店,高額な福袋（1万以上）の動きが極端に悪かった。
2020-01-01,悪くなっている,家計,津軽,レストラン,客足がにぶっている。
2020-01-01,やや悪くなっている,企業,東青,経営コンサルタント,漁業が全般に水揚げが落ち込んでおり、需要に応じ切れていない。年末おせち料理等に人気が出たところもあるが消費全体に影響する程ではない。
2020-01-01,悪くなっている,家計,津軽,一般飲食店,増税の影響。
2020-01-01,悪くなっている,家計,東青,コンビニ,客数が減って売上が下がっている。
2020-01-01,やや悪くなっている,雇用,県南,人材派遣,人材不足（労働力不足）が加速している。
2020-01-01,やや悪くなっている,雇用,津軽,新聞社求人広告,消費増税の影響だろう。消費が落ち込んでいる。
